company,mark,city,year,price,engine,power,transmission,gear,body_type,color,mileage,wheel,generation,equipment,public_date,views,description
Mitsubishi,Colt,Санкт-Петербург,2009,1100000,бензин 1.5 л,154л.с.,вариатор,передний,хэтчбек 5 дв.,черный,178000км,правый,6 поколение 2 рестайлинг,1.5 Ralliart version R,30.04.2024, 94,"Чистокровный RALLIART Version R. Техническиполный сток! в оригинальном исполнении! без каких либо доработок, кроме прошивки! Один собственник, привозил для себя. аукцион 3.5 бала.Статистика ALEADO. В РФ менее года а точнее с 10.06.2023Технически в идеальном состоянии, без дтп, весь в родном окрасе. Обслужен от ""А"" до ""Я"" (грм, сальники, ролики, масла, фильтра и.т.д) по РФ проехал 11т.км (10к перегон и 1к по городу) Полный пакет документов, Эптс. (таможенные документы) КОВШИ RECARO SR-11 ЗАВОД, РАСПОРКА ЗАВОД. ДВС ТУРБО (154Л.С) СДЕЛАН STAGE1 сейчас +- 200л.с Колеса завод. R16. резина лето (Goodyear) 22 год выпуска. Музыка android 12 (2/32) 9 дюймов. 2 комплекта ковров. Эва на зиму и штатные на летний период. К продаже не готовил: Поэтому нужна полировка кузова и имеется небольшая трещина на лобовом стекле.(прилетел камушек) в угол стекла((Кондиционер заправлен, в исправном состоянии. В зимний период автомобиль не эксплуатировался. с Октября по Апрель стоял на паркинге. ОСТАЛИСЬ ДОПОЛНИТЕЛЬНЫЕ ВОПРОСЫ? ЗВОНИТЕ! РАСЧЕТ ВОЗМОЖЕН ПОСЛЕ ПОСТАНОВКИ НА УЧЕТ НА ВАС. В ГАИ ПОЕДУ. ЦЕНА ОБСУЖДАЕТСЯ, НО ТОЛЬКО ВОЗЛЕ АВТО. СО СВОЕЙ ЦЕНОЙ! АВТОМАТОМ: БАН!!!"
Opel,Vectra,Санкт-Петербург,2006,560000,бензин 1.8 л,140л.с.,механика,передний,седан,черный,320000км,левый,3 поколение рестайлинг,1.8 MT Elegance,04.05.2024, 27,"Продаю свой автомобиль, я 4 владелец , состояние хорошее , без ДТП, в салоне не курили , по крайней мере за период моего владения. В комплекте с автомобилем отдам зимние колеса r16 , на фото в данный момент они , в ближайшее время выложу фото с летом r17. Так же отдам багажные рейки на крышу. Стоит штатная магнитола Android. В автомобиле установлен иммобилайзер, доводчик всех стекол , датчик. По поводу комплектации можно посмотреть внизу , остальное могу прислать фото документации , там все по поводу оснащения автомобиля . Так же могу прислать по запросу историю авто , пробег оригинальный , все исправно , подвеска исправна , более подробно расскажу при встрече или на смс дром , желательно писать смс , ибо я очень занят. Продаю свою машину пока висит интересный для меня вариант , торг возможен , реальному покупателю нормальный торг! Место осмотра Красное село или поселок Шушары."
BMW,X3,Санкт-Петербург,2019,4300000,дизель 3.0 л,249л.с.,АКПП,4WD,,серый,176600км,левый,3 поколение,xDrive 30d AT M Sport,30.04.2024, 108,"Фактически, у машины 1 владелец за все время. Девушка вышла замуж и сменила прописку.Вся в заводском окрасе! Имеются 2 рабочих комплекта ключа.Причина продажи: долго искал вариант тройки 3л. в G кузове.В связи с отсутствием хороших вариантов, решил купить Х3.Как назло, спустя месяц после покупки нашли нужный вариант тройки. Поэтому выставляю на продажу Х3 и цена ниже рынка для такого авто и комплектации.Проездив на ней 2000 км, могу сказать, что авто полностью обслужен.Следующее ТО через 13 000 км.Возможен небольшой торг у капота.В салон не поставлю, езжу каждый день!Звонить можно круглосуточно!"
SEAT,Leon,Санкт-Петербург,2012,780000,бензин 1.6 л,102л.с.,механика,передний,хэтчбек 5 дв.,серый,222000км,левый,2 поколение рестайлинг,1.6 MT Reference Copa ,01.05.2024, 98,"Продам комфортный автомобиль в хорошем состоянии без ДТП Seat Leon-2 2012 года выпуска в кузове хэтчбек с механической КПП и двигателем 1.6-102л/с, с родным пробегом 222 000 км!Технически автомобиль в хорошем состоянии, полностью обслужен и готов к дальнейшей эксплуатации. Салон автомобиля находится в отличном состоянии. Двигатель, КПП, ходовая часть автомобиля работает без нареканий! Все элементы кузова являются родными. Автомобиль полностью обслужен и не требует дополнительных вложений. Автомобиль является юридически чистым, любые проверки за Ваш счет. Автомобиль эксплуатировала девушка. Комплект зимней и летней резины прилагаются. Производитель Испания , концерн VAG."
BMW,X3,Санкт-Петербург,2016,3100000,бензин 2.0 л,184л.с.,АКПП,4WD,,коричневый,73000км,левый,2 поколение рестайлинг,,01.05.2024, 211,"BMW x3 в кузове f25 (рестайлинг)  Технические состояние автомобиля - идеальное! Двигатель сухой, масло не ест. Пробег роднойПодвеска не стучит. Всё исправно ! Салон чистый, приятный.вложений не требует. Всегда стояла на паркинге! ездила жена. причина продажи-покупка нового авто.звоните, на все вопросы отвечу. (на сообщения не всегда есть возможность ответить( САЛОНЫ И ПРОЧИХ ПОМОЩНИКОВ ПРОШУ НЕ БЕСПОКОИТЬ! с продажей не тороплюсь."
BMW,5-Series,Тюмень,2017,2500000,дизель 2.0 л,190л.с.,АКПП,задний,седан,черный,215000км,левый,7 поколение,520d AT Executive,05.05.2024, 1,"Продам BMW 5-ку в идеальном состоянии. Своевременное техническое обслуживание (есть заказ-наряды и история в спец. центре Viktor Wolf)., клапан EGR не отключен, вся экология на месте, бережная эксплуатация, за машиной следили, в одних руках более 3х лет, все ТО только в одном сервисе. Машина в собственности. Без торга. Без обмена."
Лада,Гранта,"Талица, Свердловская область",2014,487000,бензин 1.6 л,87л.с.,механика,передний,седан,серый,53000км,левый,1 поколение,1.6 MT Норма 014,05.05.2024, 0,"Автомобиль в хорошем состоянии. Комплектация: 2 передних подьемника, электроусилитель руля, АБС, кондиционер. Реальному покупателю торг."
Honda,HR-V,"Куйбышев, Новосибирская область",1998,510000,бензин 1.6 л,105л.с.,вариатор,передний,джип/suv 3 дв.,серый,380000км,правый,1 поколение,1.6 J,05.05.2024, 0,"собственник, в комплекте отдам зимнюю резину, все вопросы по телефону. Торг приветствуется."
Kia,Rio,Грозный,2018,1350000,бензин 1.6 л,123л.с.,механика,передний,седан,белый,164000км,левый,4 поколение,,05.05.2024, 0,"Соcтояниe идеaльнoе. Заменены пeрeдний бампеp, пpавoe крыло и лeвaя двepь бeз покраски (poдные могу отдaть вмecтe c автo, oни oчень дажe pемонтопригодны, вoзможно дaже бeз покрaски). Фapы тoжe помeнял обe cразу, так кaк oдна былa треснутая. Стoит пoлный выхлоп STINGЕR и прошивка, поэтому стоковые Солярисы и Рио даже не чувствует. Родные аудио колонки заменены + усилитель. Полная шумка. Продаю не спеша, поэтому перекупам, желающим её за полцены просьба искать себе авто дальше. Диски 16' и мне абсолютно плевать, как они для вас смотрятся - не нравится, не смотрите!Все расходники менялись своевременно, масло заливаю только оригинальное, НЕ ИЗ БОЧЕК! Заменены комплект диска сцепления, передние тормозные диски, задние барабанные тормоза и передние. Поэтому техническое состояние лучше, чем у 80% таких же по республике. Торг МИНИМАЛЬНЫЙ и только у капота реальному покупателю. По телефону просто болтать желания не имею. Возможен обмен на авто подороже (китайцев и отечественные авто не предлагайте)."
Toyota,Corona,Красноярск,1995,690000,бензин 1.8 л,125л.с.,АКПП,передний,седан,белый,200000км,правый,10 поколение рестайлинг,,05.05.2024, 1,"ПРОДАМ ОТЛИЧНЫЙ, РЕЗВИИ, АВТОМОБИЛЬ РЕСТАЙЛИНГПРОДАЖА ОТ СОБСТВЕННИКАСАЛОН КАК НОВЫЙ, НЕ ПРОСИЖЕН, НЕ ПРОДАВЛЕН, НЕ ПРОКУРЕНМОТОР В ОТЛИЧНОМ СОСТОЯНИИ.- кожаный руль- салон вилюрЗамено масла в двигатель.Замена Свечи. Все фильтра!!! Авто Не требует вложение сел и поехал. Автомобиль ухожен, салон чистый. Машина Автодилеров прошу не беспокоить со своими предложениями. Всё вопросы по телефону. Продажа от собственника вложение не требует сел и поехал!!! в таком состаяния машины уже нет!!!"
Лада,21099,Омск,2001,120000,бензин 1.5 л,70л.с.,механика,передний,,зеленый,200414км,левый,1 поколение,,05.05.2024, 0,"Продам ваз 21099 на ШЕСНАРЕ😎не дымит ничего не делает.По кузову как бы все видно на вадительской есть дырочка после зимы. Строчки тоже пошли не сильно. Дно в порядке все подлокотники на месте, балка не варена. Коллектор есть дырочка, поэтому не слишком тихая. Ну а в целом все четко свет хороший лэды. На учёте на мне снимать не буду если штрафы не будут приходить. Если что с оплатой договоримся на горячую дёргается т.к. нужно заварить коллектор, потому что сосет воздух и становиться бедная смесь.БОЛЬШЕ ВСЕГО ИНТЕРЕСУЕТ ОБМЕН"
Peugeot,107,Санкт-Петербург,2008,490000,бензин 1.0 л,68л.с.,механика,передний,хэтчбек 3 дв.,голубой,138000км,левый,1 поколение,,05.05.2024, 0,"✅ Фактически два владельца!✅ Кондиционер заправлен!✅ Пробег 138 000 км!✅ Два комплекта ключей!✅ Сервисная книжка, инструкция по эксплуатации!✅ Все стекла родные.✅ VIN: VF3PMCFAC88291879✅ Интересный вариант, но надо подумать? Тогда добавьте объявление в ИЗБРАННОЕ❤️, чтобы не потерялось среди прочих.❌ В нашем автосалоне нет никаких скрытых платежей, мы не навязываем дополнительное оборудование, выбор оплаты автомобиля за Вами (автомобиль можно приобрести как за наличные, так и в кредит). Цена автомобиля всегда соответствует цене в рекламе, в независимости от способа приобретения.✅ Перед визитом в автосалон, обязательно звоните, уточняйте наличие и согласовывайте время визита.✅ Адрес: Санкт-Петербург, ул. Краснопутиловская, д.69 Бизнес-Центр ""ЦИТАДЕЛЬ"" Атриум, офис 100.13ВРЕМЯ РАБОТЫ: с 10 до 19 (просьба согласовать время прибытия)✅ СРОЧНЫЙ ВЫКУП Вашего автомобиля в день обращения✅ Меридиан – это компания, которая работает на рынке подержанных автомобилей с 2005 г., не меняя названия и адреса.✅ Перед покупкой можно провести ознакомительную поездку, а также диагностику ам.- МКПП - Кондиционер - Airbag (2 шт.) - ABS - Электроусилитель руля - Электростеклоподъемники - Электрокорректор фар - Регулировка руля - Магнитола штатная CD/AUX - Режим рециркуляции- Крепления детских кресел Iso-FixПТС оригинал. Отличное состояние автомобиля."
Chevrolet,Lacetti,Санкт-Петербург,2012,616000,бензин 1.6 л,109л.с.,механика,передний,седан,синий,207530км,левый,1 поколение,1.6 MT SX,05.05.2024, 0,"Модель: LacettiКомплектация: Chevrolet Lacetti I 1.6 MT (109 л.с.)- А/м в хорошем внешнем и техническом состоянии, оригинальный ПТС, своевременное обслуживание, родной пробег.-Дополнительно установлена защита картера, коврики в салоне и сигнализация.✅ Более 100 автомобилей всех марок с гарантией официального дилера Автомир. ✅ Выгода при покупке в кредит до 30000 рублей от стоимости автомобиля. ✅ Кредитование по ставке от 6, 9% годовых (представлены все банки-партнеры). ✅ Преимущество при трейд-ин до 50 000 рублей (под программу обмена подходят даже кредитные автомобили)ГК «АВТОМИР» - это Ваш надежный партнер на рынке автомобилей с пробегом. Мы готовы предложить Вам подготовленные и проверенные автомобили с пробегом. Все автомобили юридически проверены и прошли комплексную диагностику по 50 параметрам. Команда ГК Автомир ждёт Вас ежедневно с 9:00 до 21:00 по адресу: Санкт-Петербург, Дунайский проспект дом 25 к.3.ПТС оригинал. Отличное состояние автомобиля.Комплектация:• Бензиновый двигатель, 1.6 л., 109 л.с.• Антиблокировочная система• Подушки безопасности• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Усилитель руля• Электростеклоподъемники• Климат-контроль• Подогрев сидений водителя и пассажира• Кассетник• CD• DVD• MP3• Прикуриватель и пепельница• Защита картера• Балонный ключ• Домкрат• Комплект ковриков• Запасное колесо"
Volkswagen,Tiguan,"Люберцы, Московская область",2019,3530000,дизель 2.0 л,150л.с.,робот,4WD,,серый,103800км,левый,2 поколение,,05.05.2024, 0,"Модель: TiguanКомплектация: OFFROADКомплектация OFFROAD!Куплен новым 06.19г.ПТС оригинал!А/м с историей обслуживания!Полный комплект ключей и документов.Пожалуйста, получите лучшее предложение у Вашего персонального менеджера.ЕЖЕДНЕВНО с 9.00 до 21.00.«АвтоМАШ-МБ» - официальный дилер Mercedes-Benz в Москве и Московской области.Преимущества покупки автомобиля от официального дилера очевидны:∙ гарантия юридической чистоты сделки, ∙ предпродажная подготовка и комплексная диагностика, ∙ разнообразие форм оплаты, ∙ привлекательные предложения по кредитованию и лизингу, ∙ примем в зачет оплаты Ваш автомобиль, ∙ страхование автомобиля на уникальных условиях, ∙ специальные предложения по техническому обслуживание, приобретению и установке дополнительного оборудования и аксессуаров, ∙ возможность в ряде случаев приобретения Сервисного Сертификата на автомобиль.#cme263-CB01115038"
Genesis,G70,Ставрополь,2019,2750000,бензин 2.0 л,197л.с.,АКПП,4WD,седан,белый,90000км,левый,1 поколение,2.0 T-GDI AT 4WD Advance,05.05.2024, 0,"Автомобиль прям идеальном состоянии, в ДТП не участвовал, без сколов и царапин, приобретен у дилера, там же и обслуживался, масла в АКПП и ДВС, все расходники поменяны, езжу каждый день, цвет очень красивый-перламутровый. Кожаный руль, круиз контроль, помощь открытия багажника, камера, штатное переключение звука двигателя, много допов от дилера, история авто вся зеленая, два ключа. Не Китай, машина надежная. Вложений абсолютно не требует. Возможно приобрести эту машину в автоКРЕДИТ на выгодных для Вас условиях 4-6% годовых, возможен обмен на другой авто , торг !"
Citroen,C4,Санкт-Петербург,2014,879000,бензин 1.6 л,150л.с.,АКПП,передний,седан,белый,167238км,левый,2 поколение,,05.05.2024, 0,"Модель: C4Комплектация: Citroen C4 II 1.6 AT (150 л.с.)- А/м в отличном внешнем и техническом состоянии, без ДТП. Оригинальный ПТС, 2 ключа, своевременное обслуживание, родной пробег.-Комплектация Exclusive в которую входит: Климат-контроль 2-зонный, Круиз-контроль, Запуск двигателя с кнопки, Навигационная система и многое другое. Дополнительно установлена защита картера, коврики в салоне✅ Более 100 автомобилей всех марок с гарантией официального дилера Автомир. ✅ Выгода при покупке в кредит до 30000 рублей от стоимости автомобиля. ✅ Кредитование по ставке от 6, 9% годовых (представлены все банки-партнеры). ✅ Преимущество при трейд-ин до 50 000 рублей (под программу обмена подходят даже кредитные автомобили)ГК «АВТОМИР» - это Ваш надежный партнер на рынке автомобилей с пробегом. Мы готовы предложить Вам подготовленные и проверенные автомобили с пробегом. Все автомобили юридически проверены и прошли комплексную диагностику по 50 параметрам. Команда ГК Автомир ждёт Вас ежедневно с 9:00 до 21:00 по адресу: Санкт-Петербург, Дунайский проспект дом 25 к.3.ПТС оригинал. Отличное состояние автомобиля.Комплектация:• Бензиновый двигатель, 1.6 л., 150 л.с.• Антиблокировочная система• Подушки безопасности• Система крепления детских автокресел• Центральный замок• Бортовой компьютер• Датчик света• Датчик дождя• Усилитель руля• Электростеклоподъемники• Климат-контроль• Подогрев сидений водителя и пассажира• Обогрев зеркал• Кассетник• CD• DVD• MP3• Мультифункциональное рулевое колесо• Прикуриватель и пепельница• Тонированные стекла• Защита картера• Противотуманные фары• Балонный ключ• Домкрат• Комплект ковриков• Запасное колесо"
Subaru,Forester,Новосибирск,2013,1950000,бензин 2.5 л,171л.с.,вариатор,4WD,,белый,108000км,левый,4 поколение,2.5 CVT NS,05.05.2024, 0,"Дилерский автомобиль , ПТС оригинал Бумажный, Первый собственник Волгоград, второй собственник Новосибирск 7 лет, обе женщины без ДТП!!!, Из окрасов п, п, крыло косметика 180 микрон, и з.п, крыло 150 микрон машина всегда обслуживалась на , , SUBARU Премиум карс, , Были Две страховые выплаты по замене лобового стекла , ставили оригинал, и сейчас стоит оригинал без сколов и трещин, также на пробеге 90т.км на SUBARU центр Волгоград был установлен новый ДВС , убрана проблема для тех кто понимает, все изменения внесены в оригинал ПТС, Летняя резина Continental, Зимняя Nokia оба на дисках в отличном состоянии, Сигнализация Star lane с автозапуском, SUBARU CОЗДАН ИНЖЕНЕРАМИ!!!!"
Hyundai,Tucson,Омск,2008,1235000,бензин 2.0 л,142л.с.,АКПП,передний,,серый,282000км,левый,1 поколение,2.0 AT 2WD GLS,05.05.2024, 1,"Автомобиль в отличном внешнем и техническом состоянии.Салон черный велюр, чистый, ухоженный.Сигнализация с автозапуском.Задние датчики парковки.Замена ремня грм на пробеге 270 тыс. км.Омский учет. Владею с 2019 года.Дополнительные вопросы по телефону (983)6275999."
Chery,Amulet,Казань,2007,115000,бензин 1.6 л,88л.с.,механика,передний,,бежевый,,левый,1 поколение,1.6 MT I,05.05.2024, 0,"Продам чери амулет в кузове лифтбек - 5 дверей, огромный багажник как на Октавии. Технически в отличном состоянии. Новый аккум, ручник держит.При желании поменять бампера и в дорогу.На учете стоит, без штрафов и запретов.Первая цена.Проехала своим ходом 300км только что, техника бодрая."
